No.;POI_Name_Arabic;POI_Name_English;Category;Food Type;Phone_Number;Mobile_Number;Street_Name ;District;URL;Latitude;Longitude
3328;"محطة الأتوز
";Al Anwar Station;Petrol/Gasoline Station;;;;Dammam Branch Rd;Ar Rimal;" 

";24.836458;46.837035
3409;محطة نظار;"Nazar Station
";Petrol/Gasoline Station;;;; Al Jenadriyah Rd;Ar Rimal;" 

";24.87601;46.846031
3414;"محطة وقود جرش
";"Jarash Fuel Gas Station
";Petrol/Gasoline Station;;;; Al Jenadriyah Rd;Ar Rimal;" 

";24.878573;46.84548
3696;"الدريس
";"Aldrees
";Petrol/Gasoline Station;;;;"Prince Turki Bin Abdulaziz Althani St
";" Al Muruj
";"  



";24.756635;46.658738
3899;الاتوز;"Alatoz
";Petrol/Gasoline Station;;;;Northern Ring Branch Rd,;" Al Muruj
";" 

";24.768965;46.667232
4304;"محطة الخنيفر للمحروقات
";"Alkhnevr Petrol Station
";Petrol/Gasoline Station;;;;Al Mughirah Ibn Shubah;King Fahd; ;24.74638;46.668226
4328;"محطة وقود الدريس
";"Aldrees
";Petrol/Gasoline Station;;011 235 6666;;Imam Saud Bin Abdulaziz Bin Mohammed Rd;King Fahd;" 

";24.750268;46.669738
4329;"ميزان العضيب
";Mizan Al Adeeb;Petrol/Gasoline Station;;;;Imam Saud Bin Abdulaziz Bin Mohammed Rd;King Fahd;" 

";24.750221;46.669626
4370;"محطة بنزين الجمعان
";"Aljmaan Petrol Station
";Petrol/Gasoline Station;;;;King Fahd, King Abdul Aziz Rd;King Fahd;"   



";24.748925;46.678702
4403;محطة وقود;"Gas station
";Petrol/Gasoline Station;;;;"
Abi Mansur Al Balawi";King Fahd;"  

";24.746096;46.675686
4576;تي بي ال;"TBL
";Petrol/Gasoline Station;;;;Olaya St;King Fahd;" 

";24.731557;46.666198
4631;"محطة وقود وخدمات ساسكو
";"SASCO Palm
";Petrol/Gasoline Station;;011 206 8855;;King Abdullah Rd;King Fahd;"sasco.com.sa
";24.731882;46.673002
4826;"نفط وقود السعودية
";"Oil and fuel Saudi Arabia
";Petrol/Gasoline Station;;;055 622 0074;King Abdul Aziz Branch Rd; Al Masif;" naft.com.sa

";24.762584;46.672363
4879;"محطة وقود
";"Petrol Station
";Petrol/Gasoline Station;;;;Dabiyah Bint Al Bara; Al Masif;" 

";24.763196;46.683861
4892;سهل;"Sahel
";Petrol/Gasoline Station;;9200 10202;;Al Imam Saud Ibn Abdul Aziz Branch Rd; Al Masif;" tas-helat.com

";24.757834;46.686439
4903;"الجمعان للخدمات البترولية
";"Juman Petroleum Services
";Petrol/Gasoline Station;;;;Al Imam Saud Ibn Abdul Aziz Branch Rd; Al Masif;  ;24.756294;46.682728
4941;"خدمة السريعة الوعلان
";"Quick service Wallan
";Petrol/Gasoline Station;;;055 093 0981;Malik Ibn Awimar; Al Masif;" 

";24.754973;46.67633
4943;محطة بنزين الوطنية;"Wataniya Gaz station 
";Petrol/Gasoline Station;;;;King Abdul Aziz Branch Rd; Al Masif;" 

 

";24.755133;46.676095
5008;محطة المسلم;AL SALAM GAS STATION;Petrol/Gasoline Station;;;;Al Kharj Rd;al fayha;;24.564108;46.841067
5013;محطة زيتي رقم ٢٢;Zaiti 22;Petrol/Gasoline Station;;;;Abu Ubaydah Amir Ibn al Jarrah;al fayha;;24.676034;46.823312
5045;,محطة زيتي;zaiti Gas Station;Petrol/Gasoline Station;;;;Abu Ubaydah Amir Ibn al Jarrah;al fayha;;24.672339;46.815472
5101;محطة الدريس;Aldrees;Petrol/Gasoline Station;;050 788 7783;;Al Bayan;al fayha;;24.684943;46.822457
5115;محطة بنزين;gas station;Petrol/Gasoline Station;;;; Prince Saad Ibn Abdulrahman Al Awal Rd;al fayha;;24.694428;46.813911
5149;محطة وقود;Petrol station;Petrol/Gasoline Station;;;;muhammad ibn abi al qasim road; Al Fayha;;24.692736;46.811052
5169;محطة بترو إقبال;Petro Iqbal station;Petrol/Gasoline Station;;;;Haroon Al Rashid Rd; Al Fayha;;24.672887;46.803594
5196;محطة الأتوز;Atouz Station;Petrol/Gasoline Station;;;;Eastern Ring Branch Rd;  Al Jazirah;;24.67868;46.778162
5197;محطة الأتوز غيار زيت وبنشر;Al Atuz Oil & Bansher;Petrol/Gasoline Station;;050 816 8535;;Eastern Ring Branch Rd;  Al Jazirah;;24.678643;46.778161
5502;الشركة السعودية لصناعة أجهزة تنقية الديزل والبنزين المحدودة(sfdpc);Saudi Diesel and Gas Purifier Manufacture Co;Petrol/Gasoline Station;;;;Ar Rumadiyah; As Sulimaniyah;sfdpc.com;24.697476;46.714306
5561;محطة رواد البترول;Petroleum Rouad Station;Petrol/Gasoline Station;;;; Yahya Ar Ranadi; As Sulimaniyah;;24.694440,;46.705378
5650;Al Drees Gas Station;محطة الدريس;Petrol/Gasoline Station;;800 122 8800;;AL MUHANDIS MASAID AL ANQARI;AL Sulimaniyah;aldrees.com;24.708451;46.686307
5875;"محطة نغريد 8166
";"NGRID 8166
";"Petrol/Gasoline 
Station";;;;Zahrawi Street;Al Mutamarat;;24.669096;46.671665
5897;"محطة الدريس للمنتجات البترولية
";Aldrees Petrol Station;"Petrol/Gasoline 
Station";;;;Makkah Al Mukarramah Branch Road;Umm Al Hamam Al Sharqi;;24.674706;46.667635
5911;"محل غاز المعذر
";"Ma'athar gas shop
";"Petrol/Gasoline 
Station";;;;At Tuyur;Umm Al Hamam Al Sharqi;;24.673094;46.663057
5958;"نغريد 8017
";"Ngrid 8017
";"Petrol/Gasoline 
Station";;;;Al Diwan St;Ar Rafiah;;24.646932;46.64565
6070;"محطة وعلان للمحروقات
";"Waalan Fuel Station
";"Petrol/Gasoline 
Station";;;;Al Jawharah Bint Ibn Muammar;Ash Sharafiyah;;24.65792;46.674808
6118;محطة التضامن;altadamun station;"Petrol/Gasoline 
Station";;;"053 692 5798

";Al Jawharah Bint Ibn Muammar;Ash Sharafiyah;;24.65375;46.66958
6197;الدريس;Aldrees ;"Petrol/Gasoline 
Station";;;;Prince Satam Bin Abdulaziz;Ulaishah;aldrees.com;24.648364;46.670672
6283;محطة سهل للوقود;"Sahel gas station
";"Petrol/Gasoline 
Station";;;;King Fahad Branch Rd;An Namudhajiyah;;24.66211;46.700264
6417;"محطة وقود
";"Gas Station
";"Petrol/Gasoline 
Station";;;;Amr Ibn Alaas St;Al Fakhiriyah;;24.640287;46.689628
6478;محطة نفط;Naft Fuel Station;"Petrol/Gasoline 
Station";;;;Al Imam Faisal Ibn Turki Ibn Abdullah Rd;Al Wisham;;24.637108;46.693127
6507;"محطة وقود
";Gas Station;"Petrol/Gasoline 
Station";;;;Al Imam Abdul Aziz Ibn Muhammad Ibn Saud;Ulaishah;;24.639709;46.692792
6509;"محطة الدريس
";"Aldrees Fuel Station
";"Petrol/Gasoline 
Station";;;;Ibn Muvaffiq;Ulaishah;;24.63971;46.692348
6573;"محطة الدريس
";"ALDrees Petrol Station
";"Petrol/Gasoline 
Station";;;"059 323 7058

";Jafar Al Baghdadi;Umm Salim;aldrees.com;24.6369;46.698696
6643;"محطة وقود
";"Fuel Station
";"Petrol/Gasoline 
Station";;;;Al Imam Abdul Aziz Ibn Muhammad Ibn Saud;Umm Salim;;24.630206;46.692506
6656;"محطة غاز الشهري
";"Gas station alshehri
";"Petrol/Gasoline 
Station";;;;Shalhub;Umm Salim;;24.63281;46.698476
6712;"محطة الدريس
";"Aldrees
";"Petrol/Gasoline 
Station";;;;Assir St;Ash Shimaisi;;24.626885;46.692569
6761;"محطة سما النخيل الأوتوماتيكية
";"Petrol Pump Automatic
";"Petrol/Gasoline 
Station";;;;Al Imam Muhammad Ibn Saud;Ash Shimaisi;;24.628601;46.70208
6820;"العمودي لتوكيلات الغاز
";"Amoudi Gas Agencies
";"Petrol/Gasoline 
Station";;;;As Sibalah;Ash Shimaisi;;24.624372;46.699365
6868;مركز السايح للمحروقات;"Al Sayeh Petrol Center
";"Petrol/Gasoline 
Station";;;;Assir St;Ash Shimaisi;;24.622984;46.696067
6888;"محطة الدريس
";"Aldrees
";"Petrol/Gasoline 
Station";;;;Al Madinah Al Munawwarah Rd;Ash Shimaisi;aldrees.com;24.620336;46.701092
6891;"محطة متعب
";mutaeab Station;"Petrol/Gasoline 
Station";;;;Al Madinah Al Munawwarah Rd;Ash Shimaisi;;24.620925;46.702641
7839;نفط للخدمات البترولية;naft lilkhadamat albtrwly;Petrol/Gasoline Station;;011 477 3594;;"
Prince Sultan Bin Abdulaziz Rd";Al Olaya;http://www.naft.com.sa/ar;24.690234;46.688468
7923;محطة العليا للمحروقات;Al Olaya Petrol Station;Petrol/Gasoline Station;;;;Olaya St;Al Olaya;;24.688365;46.687727
8467;محطة وردة الأربعين;Rose Gas Station;Petrol/Gasoline Station;;;;Prince Abdulaziz Ibn Musaid Ibn Jalawi St;Al Olaya;;24.694291;46.702115
8700;محطة الدريس;Aldrees;Petrol/Gasoline Station;;800 122 8800;;"
King Fahd Branch Rd";Al Olaya;http://www.aldrees.com/ar/;24.708443;46.673489
8825;محطة نفط;Naft;Petrol/Gasoline Station;;;;"
King Abdul Aziz Branch Rd";Salah Ad Din;;24.731568;46.687967
8904;بترول الدريس;Aldrees Petrol;Petrol/Gasoline Station;;;;King Abdullah Branch Rd;Salah Ad Din;;24.737686;46.688297
9049;محطة بترولات;Petrolat;Petrol/Gasoline Station;;;;Rafha St;Al Wahah;http://www.petrolat.com/Ar/;24.737003;46.707321
9123;محطة الدريس;Al - Drees Station;Petrol/Gasoline Station;;;;King Abdullah Branch Rd;Al Wahah;;24.748068;46.712802
9228;محطة الدريس;Al Idrees Fuel Station;Petrol/Gasoline Station;;800 122 8800;;"
Makkah Al Mukarramah Branch Rd";King Abdul Aziz;http://www.aldrees.com/en/;24.702898;46.742728
9398;محطة وقود زيتي رقم ٤٧;Oil Fuel Station No. 47;Petrol/Gasoline Station;;;;Abu Ubaydah Amir Ibn al Jarrah;As Sulay;;24.689199;46.852217
9452;محطة الدريس;Aldrees;Petrol/Gasoline Station;;;;Abu Ubaydah Amir Ibn al Jarrah;As Sulay;;24.679952;46.832252
9458;محطه الدريس;Aldrees;Petrol/Gasoline Station;;;;Abu Ubaydah Amir Ibn al Jarrah;As Sulay;http://www.aldrees.com/en/;24.677048;46.825955
9501;محطة وقود;Gas Station;Petrol/Gasoline Station;;;;Haroon Al Rashid Rd;As Sulay;;24.656938;46.812579
9506;محطة الطاقة العربية للوقود;Arab power plant fuel;Petrol/Gasoline Station;;;;Haroon Al Rashid Rd;As Sulay;;24.652363;46.815104
9528;محطة نفط;Oil station Naft;Petrol/Gasoline Station;;;;Southern Ring Rd;As Sulay;;24.642778;46.832015
9575;سهل;Sahel Fuel Station;Petrol/Gasoline Station;;;;Ibn Al Amid;As Sulay;;24.656145;46.824817
9580;محطة;Naft;Petrol/Gasoline Station;;;;Ibn Al Amid;As Sulay;;24.658266;46.829275
9584;زيت كاسترول;Castrol oil;Petrol/Gasoline Station;;;;Ibn Al Amid;As Sulay;;24.658926;46.830743
9690;محطة بترو إقبال;Petro Iqbal station;Petrol/Gasoline Station;;;;Muhammad Ibn Al Bashir;As Sulay;;24.669092;46.828409
9725;محطة الدريس;Aldrees;Petrol/Gasoline Station;;;;Nahawnd;As Sulay;;24.665267;46.842348
9814;محطة وقود;Petrol Station;Petrol/Gasoline Station;;;;Al Batha;Jabrah;;24.625751;46.720344
9840;محطة الرياض;Riyadh Petrol Pump;Petrol/Gasoline Station;;;;Al Madinah Al Munawwarah;Al Wusaita;;24.627701;46.713862
9895;محطة الفتح;Al Fath Station;Petrol/Gasoline Station;;;;Al Fariyan;Mikal;;24.619094;46.714339
9900;محطة النخبة الوطنية للمحروقات;National Elite Gas Station;Petrol/Gasoline Station;;;;King Faisal Road;Al Butaiha;;24.621079;46.722143
9911;محطة وقود ميد;AL DREES PETROL STATION;Petrol/Gasoline Station;;;;Al Asha;Skirinah;;24.620362;46.717452
9936;محطة سما للمحروقات;Sama Petrol Station;Petrol/Gasoline Station;;;;Muhammad Ibn Khayrah;As Sulay;;24.680425;46.855289
9958;محطة الدريس;Aldrees;Petrol/Gasoline Station;;;;Nahawnd;As Sulay;;24.665267;46.842348
10005;محطة وقود زيتي رقم ٤٧;Oil Fuel Station No. 47;Petrol/Gasoline Station;;;;Abu Ubaydah Amir Ibn al Jarrah;As Sulay;;24.689199;46.852217
